dataset,model,protocol,fold_id,protocol_tag,accuracy,balanced_accuracy,precision,recall,f1,auc
ern,eegnet_ms_se,within,0,within_sub2_fold0,0.8235,0.8154,0.931,0.8308,0.878,0.87
ern,eegnet_ms_se,within,1,within_sub2_fold1,0.8118,0.8083,0.9074,0.8167,0.8596,0.874
ern,eegnet_ms_se,within,2,within_sub2_fold2,0.7647,0.7514,0.7241,0.913,0.8077,0.8768115942028986
ern,eegnet_ms_se,within,3,within_sub2_fold3,0.8353,0.8203,0.8182,0.9184,0.8654,0.8985260770975056
ern,eegnet_ms_se,within,0,within_sub6_fold0,0.9412,0.4878,0.9639,0.9756,0.9697,0.8292682926829269
ern,eegnet_ms_se,within,1,within_sub6_fold1,0.9412,0.6127,0.9634,0.9753,0.9693,0.5401234567901234
ern,eegnet_ms_se,within,2,within_sub6_fold2,0.9176,0.5,0.9176,1.0,0.9571,0.4230769230769231
ern,eegnet_ms_se,within,3,within_sub6_fold3,0.8824,0.5,0.8824,1.0,0.9375,0.724
ern,eegnet_ms_se,within,0,within_sub7_fold0,0.8941,0.6055,0.925,0.961,0.9427,0.7175324675324676
ern,eegnet_ms_se,within,1,within_sub7_fold1,0.9294,0.654,0.9506,0.9747,0.9625,0.7805907172995781
ern,eegnet_ms_se,within,2,within_sub7_fold2,0.8706,0.5394,0.9241,0.9359,0.9299,0.7362637362637363
ern,eegnet_ms_se,within,3,within_sub7_fold3,0.8588,0.5,0.8588,1.0,0.9241,0.7648401826484019
ern,eegnet_ms_se,within,0,within_sub11_fold0,0.7412,0.6733,0.8689,0.791,0.8281,0.7537313432835822
ern,eegnet_ms_se,within,1,within_sub11_fold1,0.7059,0.573,0.7297,0.9153,0.812,0.6460234680573663
ern,eegnet_ms_se,within,2,within_sub11_fold2,0.5647,0.5082,0.5811,0.8776,0.6992,0.5328798185941044
ern,eegnet_ms_se,within,3,within_sub11_fold3,0.5765,0.5414,0.6167,0.74,0.6727,0.5782857142857143
ern,eegnet_ms_se,within,0,within_sub12_fold0,0.5765,0.5709,0.7391,0.5862,0.6538,0.5715197956577267
ern,eegnet_ms_se,within,1,within_sub12_fold1,0.5176,0.5379,0.6757,0.463,0.5495,0.6027479091995221
ern,eegnet_ms_se,within,2,within_sub12_fold2,0.5529,0.5694,0.5152,0.85,0.6415,0.6522222222222223
ern,eegnet_ms_se,within,3,within_sub12_fold3,0.5176,0.5358,0.463,0.6757,0.5495,0.5698198198198199
ern,eegnet_ms_se,within,0,within_sub13_fold0,0.7176,0.7302,0.8372,0.6792,0.75,0.7824292452830188
ern,eegnet_ms_se,within,1,within_sub13_fold1,0.7882,0.7832,0.75,0.75,0.75,0.8180272108843538
ern,eegnet_ms_se,within,2,within_sub13_fold2,0.7882,0.7858,0.8085,0.8085,0.8085,0.864501679731243
