dataset,model,protocol,fold_id,protocol_tag,seed,train_subjects,val_subjects,test_subjects,n_train,n_val,n_test,lr,weight_decay,batch_size,epochs,best_epoch,best_val_loss,main_metric,main_value,accuracy,balanced_accuracy,precision,recall,f1,kappa,auc,auc_ovr_macro
p300,eegnet_ms_se,cross,0,p300_cross_fold0_TESTSET,42,"[20, 50, 42, 27, 44, 13, 53, 4, 34, 35, 9, 18, 7, 5, 48, 28, 47, 46, 54, 16, 10, 17, 25, 31, 38, 26, 12, 1, 49, 37, 30, 41, 2, 22, 3, 51, 40, 36, 24, 45, 11, 23, 19, 55, 21, 8, 43, 15, 29, 52, 39]","[32, 6, 33, 14]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",91800,7200,277200,0.001,0.0,32,500,67,0.519380167722702,auc,0.8042203801465491,0.7573737373737374,0.7271948051948052,0.3747650655437394,0.6819264069264069,0.4837025778023429,0.3422010093501819,0.8042203801465491,
p300,eegnet_ms_se,cross,1,p300_cross_fold1_TESTSET,42,"[11, 49, 3, 38, 37, 12, 41, 27, 30, 55, 19, 1, 20, 22, 9, 24, 39, 33, 52, 13, 16, 21, 32, 25, 28, 23, 51, 53, 15, 31, 50, 48, 10, 34, 26, 18, 29, 46, 42, 6, 2, 4, 40, 36, 17, 14, 35, 47, 8, 44, 7]","[45, 5, 54, 43]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",91800,7200,277200,0.001,0.0,32,500,89,0.5874910346666972,auc,0.8020631337493676,0.7600901875901875,0.7255606060606061,0.3770394505747405,0.6737662337662338,0.4835079489589077,0.3431110437972067,0.8020631337493676,
p300,eegnet_ms_se,cross,2,p300_cross_fold2_TESTSET,42,"[21, 50, 2, 46, 6, 44, 53, 18, 11, 52, 16, 20, 31, 4, 17, 38, 19, 13, 10, 25, 15, 48, 49, 45, 43, 26, 54, 36, 3, 14, 51, 1, 40, 27, 22, 35, 37, 24, 23, 55, 34, 12, 8, 9, 7, 28, 41, 39, 42, 5, 33]","[47, 29, 32, 30]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",91800,7200,277200,0.001,0.0,32,500,85,0.5096704561842812,auc,0.8039185105226663,0.7678535353535354,0.7257251082251082,0.3856543486751754,0.6625324675324675,0.4875247871688076,0.3507288002206242,0.8039185105226663,
p300,eegnet_ms_se,cross,3,p300_cross_fold3_TESTSET,42,"[29, 47, 41, 18, 49, 38, 23, 21, 32, 48, 43, 37, 19, 5, 46, 40, 2, 7, 12, 31, 26, 17, 50, 35, 34, 22, 36, 15, 24, 51, 9, 42, 8, 55, 45, 3, 13, 27, 1, 33, 39, 25, 53, 11, 30, 20, 52, 44, 54, 28, 6]","[16, 10, 4, 14]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",91800,7200,277200,0.001,0.0,32,500,26,0.5292211695512136,auc,0.8027792914769214,0.7660569985569986,0.7248809523809523,0.3833285369302185,0.6631168831168831,0.4858191736507005,0.3481245937234034,0.8027792914769214,
p300,eegnet_ms_se,cross,4,p300_cross_fold4_TESTSET,42,"[36, 15, 30, 10, 31, 51, 2, 13, 42, 12, 41, 21, 23, 18, 46, 8, 1, 47, 25, 7, 39, 35, 55, 54, 19, 50, 27, 28, 20, 3, 29, 40, 43, 9, 33, 16, 49, 22, 52, 34, 5, 24, 38, 17, 11, 4, 53, 6, 32, 26, 44]","[14, 37, 45, 48]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",91800,7200,277200,0.001,0.0,32,500,18,0.6071764788362715,auc,0.8008261606791477,0.771976911976912,0.7224242424242424,0.3894033189408521,0.6480952380952381,0.4864979040067592,0.3514556200065667,0.8008261606791477,
p300,eegnet_ms_se,cross,5,p300_cross_fold5_TESTSET,42,"[52, 17, 40, 50, 6, 15, 39, 53, 46, 51, 26, 7, 38, 54, 30, 27, 23, 55, 4, 49, 45, 44, 22, 2, 31, 14, 18, 29, 34, 25, 47, 43, 36, 8, 11, 42, 33, 24, 20, 3, 16, 19, 35, 41, 9, 32, 37, 5, 12, 48, 1]","[13, 21, 28, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",91800,7200,277200,0.001,0.0,32,500,411,0.5172639270623525,auc,0.8069059472742266,0.7626767676767677,0.7304199134199134,0.3814492893978645,0.682034632034632,0.4892629225346645,0.3503943228048924,0.8069059472742266,
p300,eegnet_ms_se,cross,6,p300_cross_fold6_TESTSET,42,"[46, 38, 41, 9, 16, 40, 54, 32, 42, 36, 11, 45, 2, 15, 25, 14, 8, 26, 22, 10, 18, 3, 1, 23, 52, 37, 53, 20, 48, 31, 39, 24, 43, 6, 29, 51, 49, 17, 35, 4, 19, 5, 50, 47, 28, 33, 30, 21, 34, 55, 27]","[12, 44, 7, 13]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",91800,7200,277200,0.001,0.0,32,500,116,0.5291103090180291,auc,0.804669918714042,0.7694083694083694,0.7260865800865801,0.3875720122833286,0.6611038961038961,0.4886645441018831,0.3526258220463723,0.804669918714042,
p300,eegnet_ms_se,cross,7,p300_cross_fold7_TESTSET,42,"[3, 9, 19, 21, 4, 54, 55, 51, 43, 42, 18, 48, 46, 5, 11, 40, 6, 10, 47, 17, 39, 27, 49, 38, 29, 30, 31, 26, 53, 22, 41, 32, 2, 34, 28, 15, 23, 12, 14, 16, 8, 1, 20, 45, 36, 7, 13, 24, 25, 50, 35]","[44, 37, 52, 33]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",91800,7200,277200,0.001,0.0,32,500,315,0.5525097358226776,auc,0.8037761155619272,0.7781132756132756,0.7243484848484849,0.3976599585478371,0.6437012987012987,0.4916146629747489,0.3596800499705035,0.8037761155619272,
p300,eegnet_ms_se,cross,8,p300_cross_fold8_TESTSET,42,"[46, 6, 8, 2, 13, 21, 38, 4, 7, 41, 27, 10, 54, 40, 24, 20, 31, 52, 15, 50, 14, 39, 35, 36, 51, 48, 47, 44, 3, 29, 22, 5, 16, 55, 25, 32, 34, 43, 1, 12, 9, 23, 49, 37, 26, 28, 53, 17, 19, 30, 42]","[11, 33, 45, 18]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",91800,7200,277200,0.001,0.0,32,500,345,0.5775425228807661,auc,0.79987109152752,0.7613816738816739,0.7228722943722944,0.3774892200341519,0.6651082251082251,0.4816263195429502,0.3416267974333283,0.79987109152752,
p300,eegnet_ms_se,cross,9,p300_cross_fold9_TESTSET,42,"[43, 26, 25, 15, 50, 48, 7, 9, 40, 23, 39, 22, 29, 30, 17, 37, 18, 53, 44, 14, 41, 13, 34, 11, 54, 8, 42, 51, 3, 38, 36, 33, 35, 12, 46, 20, 27, 52, 28, 2, 47, 24, 16, 4, 45, 5, 1, 32, 19, 10, 31]","[21, 6, 55, 49]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",91800,7200,277200,0.001,0.0,32,500,362,0.5011145561271244,auc,0.8055707125990892,0.7786471861471862,0.7253528138528138,0.3986630122334381,0.6454112554112554,0.4928798710690524,0.3612651375828446,0.8055707125990892,
