dataset,model,protocol,fold_id,protocol_tag,train_subjects,val_subjects,test_subjects,n_train,n_val,n_test,best_epoch,best_val_loss,main_metric,main_value,accuracy,balanced_accuracy,precision,recall,f1,kappa,auc
p300,eegnet_ms_se,within,0,within_sub1_fold0,[1],[1],[1],900,450,450,29,0.6369233091672262,auc,0.7901866666666667,0.7066666666666667,0.728,0.3333333333333333,0.76,0.46341463414634143,0.3015873015873016,0.7901866666666667
p300,eegnet_ms_se,within,1,within_sub1_fold1,[1],[1],[1],900,450,450,37,0.5985227882862091,auc,0.6551466666666667,0.5733333333333334,0.6213333333333333,0.23529411764705882,0.6933333333333334,0.3513513513513513,0.13643178410794599,0.6551466666666667
p300,eegnet_ms_se,within,2,within_sub1_fold2,[1],[1],[1],900,450,450,24,0.6309595227241516,auc,0.7594286518435125,0.7,0.7094356881508584,0.3254437869822485,0.7236842105263158,0.4489795918367347,0.2815922045363165,0.7594286518435125
p300,eegnet_ms_se,within,3,within_sub1_fold3,[1],[1],[1],900,450,450,36,0.5612817724545797,auc,0.7402242668200114,0.7,0.706512363427257,0.31736526946107785,0.7162162162162162,0.4398340248962656,0.2744882604437864,0.7402242668200114
p300,eegnet_ms_se,within,0,within_sub2_fold0,[2],[2],[2],900,450,450,35,0.6428520361582438,auc,0.6359466666666668,0.6755555555555556,0.6080000000000001,0.2585034013605442,0.5066666666666667,0.3423423423423424,0.1560693641618497,0.6359466666666668
p300,eegnet_ms_se,within,1,within_sub2_fold1,[2],[2],[2],900,450,450,47,0.6755157083272934,auc,0.6156444444444443,0.6155555555555555,0.5826666666666667,0.2247191011235955,0.5333333333333333,0.31620553359683795,0.10671256454388989,0.6156444444444443
p300,eegnet_ms_se,within,2,within_sub2_fold2,[2],[2],[2],900,450,450,30,0.6395939459403356,auc,0.6407965099915564,0.6622222222222223,0.613319729805798,0.25949367088607594,0.5394736842105263,0.3504273504273504,0.1585059790364648,0.6407965099915564
p300,eegnet_ms_se,within,3,within_sub2_fold3,[2],[2],[2],900,450,450,34,0.6737630804379781,auc,0.6575258769407706,0.6577777777777778,0.6215497412305923,0.25609756097560976,0.5675675675675675,0.3529411764705882,0.1633264113584777,0.6575258769407706
p300,eegnet_ms_se,within,0,within_sub3_fold0,[3],[3],[3],900,450,450,65,0.5451274414857229,auc,0.7234731213059387,0.7333333333333333,0.6823107233323952,0.3382352941176471,0.6052631578947368,0.4339622641509434,0.27737929557863183,0.7234731213059387
p300,eegnet_ms_se,within,1,within_sub3_fold1,[3],[3],[3],900,450,450,71,0.5662082175413767,auc,0.7808726279470961,0.7311111111111112,0.7142754456584244,0.3422818791946309,0.6891891891891891,0.4573991031390135,0.3045799381848835,0.7808726279470961
