subject,fold,auc
2,1,0.8615384615384616
2,2,0.9153333333333333
2,3,0.8812709030100334
2,4,0.8905895691609977
6,1,0.8983739837398375
6,2,0.4228395061728395
6,3,0.7692307692307693
6,4,0.6573333333333333
7,1,0.8327922077922078
7,2,0.9662447257383966
7,3,0.9249084249084248
7,4,0.976027397260274
11,1,0.6965174129353233
11,2,0.7099087353324641
11,3,0.6235827664399093
11,4,0.5954285714285714
12,1,0.6245210727969348
12,2,0.7270011947431303
12,3,0.725
12,4,0.7426801801801801
13,1,0.8054245283018868
13,2,0.8146258503401361
13,3,0.8409854423292273
13,4,0.8665559246954596
14,1,0.8775757575757576
14,2,0.8293333333333334
14,3,0.6509090909090909
14,4,0.7077777777777777
16,1,0.6875901875901876
16,2,0.5790094339622641
16,3,0.6282051282051282
16,4,0.6517165005537098
17,1,0.8626666666666667
17,2,0.8876941457586619
17,3,0.8654279279279279
17,4,0.8639455782312926
18,1,0.8722334004024145
18,2,0.7783094098883573
18,3,0.89275956284153
18,4,0.7821067821067821
20,1,0.7008928571428572
20,2,0.6926229508196722
20,3,0.7494103773584905
20,4,0.8563218390804598
21,1,1.0
21,2,0.9598765432098766
21,3,0.9707792207792207
21,4,0.8514957264957265
22,1,0.5864197530864197
22,2,0.8736263736263737
22,3,0.8051948051948052
22,4,0.8084415584415584
23,1,0.6911589008363201
23,2,0.6666666666666666
23,3,0.7812121212121211
23,4,0.7431302270011948
24,1,0.8882783882783882
24,2,0.8740031897926636
24,3,0.7977855477855479
24,4,0.810077519379845
26,1,0.6122448979591837
26,2,0.6234285714285714
26,3,0.6567749160134378
26,4,0.6565714285714286
