rep,train_subjects,val_subjects,n_train_trials,n_val_trials,class_weight,val_loss,val_acc,val_auc,test_auc_if_labels
0,2 7 11 12 13 14 17 21 22 23 24 26,16 6 18 20,4080,1360,"{1: 1.0, 0: 3.0}",0.6123141646385193,0.679411768913269,0.6482703685760498,
1,2 11 12 13 14 16 20 21 22 23 24 26,18 7 6 17,4080,1360,"{1: 1.0, 0: 3.0}",0.5484905242919922,0.7360293865203857,0.7887639403343201,
2,2 6 11 12 13 14 17 20 22 23 24 26,18 16 21 7,4080,1360,"{1: 1.0, 0: 3.0}",0.5320558547973633,0.7404412031173706,0.7026618123054504,
3,2 6 11 13 14 16 17 18 20 21 24 26,12 22 7 23,4080,1360,"{1: 1.0, 0: 3.0}",0.5313162207603455,0.7573529481887817,0.6961929798126221,
4,2 6 7 12 13 17 18 20 21 22 23 26,11 24 14 16,4080,1360,"{1: 1.0, 0: 3.0}",0.6357831954956055,0.6720588207244873,0.7112574577331543,
5,6 7 11 13 14 16 17 18 20 21 23 26,12 22 2 24,4080,1360,"{1: 1.0, 0: 3.0}",0.5774807929992676,0.7147058844566345,0.6667488217353821,
6,2 7 11 13 14 16 17 20 21 22 23 24,18 26 6 12,4080,1360,"{1: 1.0, 0: 3.0}",0.6108201146125793,0.699999988079071,0.64976567029953,
7,2 6 11 12 14 16 17 18 21 22 24 26,7 20 13 23,4080,1360,"{1: 1.0, 0: 3.0}",0.5609546303749084,0.7124999761581421,0.7434198260307312,
8,2 6 11 12 13 14 17 18 22 23 24 26,7 16 21 20,4080,1360,"{1: 1.0, 0: 3.0}",0.5836825370788574,0.6977941393852234,0.6958605647087097,
9,2 6 7 11 14 16 17 18 20 21 23 26,24 12 22 13,4080,1360,"{1: 1.0, 0: 3.0}",0.5780395865440369,0.7088235020637512,0.6946659088134766,
10,2 6 11 12 13 16 17 18 21 22 23 24,26 20 7 14,4080,1360,"{1: 1.0, 0: 3.0}",0.6780712604522705,0.6602941155433655,0.7086859345436096,
11,2 6 11 12 13 14 17 18 21 22 23 24,20 26 7 16,4080,1360,"{1: 1.0, 0: 3.0}",0.6098044514656067,0.6816176176071167,0.7199937105178833,
12,2 7 11 13 14 16 20 21 22 23 24 26,18 17 6 12,4080,1360,"{1: 1.0, 0: 3.0}",0.5855727791786194,0.7242646813392639,0.6877081990242004,
13,2 6 7 11 12 14 16 17 18 22 23 26,13 24 20 21,4080,1360,"{1: 1.0, 0: 3.0}",0.5504375696182251,0.7264705896377563,0.7454909682273865,
14,2 7 12 13 14 16 18 20 21 23 24 26,22 6 17 11,4080,1360,"{1: 1.0, 0: 3.0}",0.5706539154052734,0.7191176414489746,0.8051354885101318,
15,2 6 7 11 12 13 14 17 21 22 24 26,16 23 20 18,4080,1360,"{1: 1.0, 0: 3.0}",0.610724925994873,0.6963235139846802,0.6910719275474548,
16,2 6 7 11 12 13 17 20 21 22 23 26,14 24 18 16,4080,1360,"{1: 1.0, 0: 3.0}",0.6366859674453735,0.6786764860153198,0.6829656958580017,
17,2 7 11 12 13 16 17 18 21 22 23 24,6 26 20 14,4080,1360,"{1: 1.0, 0: 3.0}",0.6617408394813538,0.6617646813392639,0.7000621557235718,
18,2 7 11 12 13 14 16 18 21 22 23 24,26 6 20 17,4080,1360,"{1: 1.0, 0: 3.0}",0.6390330195426941,0.658088207244873,0.776161789894104,
19,2 6 7 11 13 14 17 20 22 23 24 26,12 18 21 16,4080,1360,"{1: 1.0, 0: 3.0}",0.5542992949485779,0.7235293984413147,0.6993647217750549,
20,2 6 7 13 16 17 18 20 21 23 24 26,11 22 12 14,4080,1360,"{1: 1.0, 0: 3.0}",0.6258679032325745,0.6529411673545837,0.6739224195480347,
21,6 7 12 13 14 16 17 18 20 22 24 26,23 11 2 21,4080,1360,"{1: 1.0, 0: 3.0}",0.559895396232605,0.7338235378265381,0.7434648275375366,
22,2 7 11 12 14 16 20 21 22 23 24 26,13 18 17 6,4080,1360,"{1: 1.0, 0: 3.0}",0.5190624594688416,0.7588235139846802,0.7857135534286499,
23,2 6 7 11 12 16 18 20 21 22 23 24,13 14 17 26,4080,1360,"{1: 1.0, 0: 3.0}",0.631310760974884,0.6632353067398071,0.7076194286346436,
24,7 11 13 14 16 17 18 20 21 22 23 24,12 2 6 26,4080,1360,"{1: 1.0, 0: 3.0}",0.635856568813324,0.6492646932601929,0.6350370645523071,
25,2 6 11 12 13 16 17 18 21 22 23 26,20 14 24 7,4080,1360,"{1: 1.0, 0: 3.0}",0.5962483882904053,0.7058823704719543,0.741470992565155,
26,2 6 7 11 12 13 17 20 21 22 23 24,16 26 18 14,4080,1360,"{1: 1.0, 0: 3.0}",0.7105855345726013,0.6132352948188782,0.6373648643493652,
27,2 6 7 12 13 14 16 17 20 21 22 23,26 11 24 18,4080,1360,"{1: 1.0, 0: 3.0}",0.6008260846138,0.6919117569923401,0.7086858153343201,
28,2 7 11 14 16 17 18 20 21 22 23 24,26 12 13 6,4080,1360,"{1: 1.0, 0: 3.0}",0.6466479301452637,0.637499988079071,0.6441415548324585,
29,2 6 7 12 13 16 17 20 21 23 24 26,11 14 18 22,4080,1360,"{1: 1.0, 0: 3.0}",0.5976303219795227,0.699999988079071,0.7425564527511597,
