subject,fold,n_train,n_val,n_test,val_auc,test_auc
1,0,40,20,20,0.800000,0.555000
1,1,40,20,20,0.830000,0.810000
1,2,40,20,20,0.680000,0.755000
1,3,40,20,20,0.245000,0.525000
2,0,34,18,18,0.487654,0.567901
2,1,34,18,18,0.839506,0.512346
2,2,36,16,18,0.703125,0.950617
2,3,36,18,16,0.882716,0.843750
3,0,40,20,20,0.560000,0.750000
3,1,40,20,20,0.400000,0.630000
3,2,40,20,20,0.585000,0.420000
3,3,40,20,20,0.725000,0.540000
4,0,40,20,20,0.820000,0.690000
4,1,40,20,20,0.810000,0.770000
4,2,40,20,20,0.705000,0.590000
4,3,40,20,20,0.710000,0.680000
5,0,40,20,20,0.695000,0.520000
5,1,40,20,20,0.670000,0.710000
5,2,40,20,20,0.635000,0.415000
5,3,40,20,20,0.680000,0.780000
6,0,36,18,20,0.950617,0.920000
6,1,38,18,18,1.000000,0.950617
6,2,38,18,18,0.987654,0.987654
6,3,36,20,18,0.980000,0.975309
7,0,40,20,20,0.690000,0.685000
7,1,40,20,20,0.625000,0.580000
7,2,40,20,20,0.605000,0.430000
7,3,40,20,20,0.530000,0.560000
8,0,40,20,20,0.820000,0.710000
8,1,40,20,20,0.680000,0.510000
8,2,40,20,20,0.835000,0.860000
8,3,40,20,20,0.950000,0.625000
9,0,40,20,20,0.740000,0.680000
9,1,40,20,20,0.810000,0.760000
9,2,40,20,20,0.825000,0.635000
9,3,40,20,20,0.620000,0.595000
10,0,40,20,20,0.560000,0.710000
10,1,40,20,20,0.720000,0.490000
10,2,40,20,20,0.680000,0.400000
10,3,40,20,20,0.785000,0.680000
11,0,40,20,20,0.920000,0.930000
11,1,40,20,20,0.960000,0.860000
11,2,40,20,20,0.920000,0.920000
11,3,40,20,20,0.860000,0.810000
12,0,40,20,20,0.665000,0.315000
12,1,40,20,20,0.635000,0.565000
12,2,40,20,20,0.715000,0.600000
12,3,40,20,20,0.620000,0.625000
13,0,40,20,20,0.645000,0.775000
13,1,40,20,20,0.730000,0.535000
13,2,40,20,20,0.400000,0.420000
13,3,40,20,20,0.675000,0.430000
14,0,40,20,20,0.315000,0.355000
14,1,40,20,20,0.900000,0.450000
14,2,40,20,20,0.685000,0.600000
14,3,40,20,20,0.825000,0.540000
