rep,train_subjects,val_subjects,test_subject,n_train,n_val,n_test,val_auc,test_auc,weights
0,2 3 4 5 6 8 12 13 14,7 1 9 10,11,704,320,80,0.6340038776397705,0.7831249833106995,mrcp_cross_rep00_testS11.weights.h5
1,1 4 5 6 8 9 10 12 13,3 2 14 7,11,714,310,80,0.675463080406189,0.8646875023841858,mrcp_cross_rep01_testS11.weights.h5
2,1 3 4 5 8 9 10 12 13,7 6 2 11,14,720,304,80,0.7667719125747681,0.6559374928474426,mrcp_cross_rep02_testS14.weights.h5
3,1 2 4 5 7 10 11 13 14,12 9 8 6,3,710,314,80,0.697168231010437,0.6937499642372131,mrcp_cross_rep03_testS03.weights.h5
4,3 4 5 6 8 9 11 13 14,7 2 12 1,10,714,310,80,0.6825598478317261,0.6484375,mrcp_cross_rep04_testS10.weights.h5
5,1 3 4 6 7 8 9 11 14,10 5 13 2,12,714,310,80,0.6841831207275391,0.4893749952316284,mrcp_cross_rep05_testS12.weights.h5
6,2 4 5 6 7 9 11 12 14,13 8 3 10,1,704,320,80,0.6386523246765137,0.7006250619888306,mrcp_cross_rep06_testS01.weights.h5
7,1 3 4 5 6 8 9 11 12,2 7 10 14,13,714,310,80,0.6844744682312012,0.6321874856948853,mrcp_cross_rep07_testS13.weights.h5
8,1 3 7 8 9 10 11 13 14,6 12 4 5,2,720,314,70,0.6428861021995544,0.7877550721168518,mrcp_cross_rep08_testS02.weights.h5
9,1 3 4 5 8 10 12 13 14,9 7 6 2,11,720,304,80,0.7265192270278931,0.8143749833106995,mrcp_cross_rep09_testS11.weights.h5
10,1 2 4 7 8 9 10 13 14,6 11 12 3,5,710,314,80,0.7014279961585999,0.5996875166893005,mrcp_cross_rep10_testS05.weights.h5
11,1 2 4 5 7 8 11 13 14,9 6 10 12,3,710,314,80,0.6236764192581177,0.6537500619888306,mrcp_cross_rep11_testS03.weights.h5
12,4 5 6 7 8 10 11 12 14,13 9 3 2,1,714,310,80,0.6681581735610962,0.7012500166893005,mrcp_cross_rep12_testS01.weights.h5
13,1 2 3 4 5 6 7 12 13,14 9 11 10,8,704,320,80,0.48173826932907104,0.6428124904632568,mrcp_cross_rep13_testS08.weights.h5
14,1 3 4 5 9 10 11 12 14,6 13 8 7,2,720,314,70,0.7034565806388855,0.7669388055801392,mrcp_cross_rep14_testS02.weights.h5
15,1 2 3 4 6 8 10 12 14,13 5 9 7,11,704,320,80,0.639941394329071,0.739062488079071,mrcp_cross_rep15_testS11.weights.h5
16,1 2 3 5 6 9 10 11 12,14 13 8 7,4,704,320,80,0.6449804306030273,0.75,mrcp_cross_rep16_testS04.weights.h5
17,2 3 4 6 9 10 11 12 13,1 5 7 14,8,704,320,80,0.6852929592132568,0.7862499952316284,mrcp_cross_rep17_testS08.weights.h5
18,2 3 6 7 8 9 10 13 14,1 12 11 4,5,704,320,80,0.7159961462020874,0.6090624928474426,mrcp_cross_rep18_testS05.weights.h5
19,1 2 3 5 7 8 9 13 14,10 6 4 11,12,710,314,80,0.6843482255935669,0.5284374952316284,mrcp_cross_rep19_testS12.weights.h5
20,1 3 4 5 7 9 10 12 13,14 11 6 8,2,720,314,70,0.7114487290382385,0.7273470163345337,mrcp_cross_rep20_testS02.weights.h5
21,3 5 6 7 9 10 11 12 13,4 1 2 14,8,714,310,80,0.674984335899353,0.6828124523162842,mrcp_cross_rep21_testS08.weights.h5
22,1 3 4 5 6 7 10 11 13,2 12 8 14,9,714,310,80,0.7277003526687622,0.6421874761581421,mrcp_cross_rep22_testS09.weights.h5
23,1 2 4 5 7 8 10 11 13,3 12 14 6,9,710,314,80,0.6670858860015869,0.5881250500679016,mrcp_cross_rep23_testS09.weights.h5
24,1 3 4 6 8 9 10 11 12,2 13 7 5,14,714,310,80,0.6589802503585815,0.6465624570846558,mrcp_cross_rep24_testS14.weights.h5
25,1 2 3 4 6 8 9 12 13,7 10 5 11,14,704,320,80,0.642636775970459,0.6378124952316284,mrcp_cross_rep25_testS14.weights.h5
26,1 2 6 7 8 9 12 13 14,3 4 10 11,5,704,320,80,0.7029687166213989,0.6378124952316284,mrcp_cross_rep26_testS05.weights.h5
27,3 4 7 8 9 10 11 12 14,13 6 2 1,5,720,304,80,0.7317347526550293,0.6787499785423279,mrcp_cross_rep27_testS05.weights.h5
28,1 2 3 5 6 7 10 12 14,4 9 8 11,13,704,320,80,0.7425194978713989,0.5924999713897705,mrcp_cross_rep28_testS13.weights.h5
29,2 3 4 5 6 8 12 13 14,11 1 10 7,9,704,320,80,0.7104101777076721,0.5818750262260437,mrcp_cross_rep29_testS09.weights.h5
