subject,fold,train_runs,val_run,test_run,val_auc,test_auc
1,0,2 3,1,0,0.790565,0.800170
1,1,0 3,2,1,0.764726,0.776358
1,2,0 1,3,2,0.773079,0.780193
1,3,1 2,0,3,0.770181,0.754973
2,0,2 3,1,0,0.784907,0.790141
2,1,0 3,2,1,0.822415,0.757129
2,2,0 1,3,2,0.802762,0.830315
2,3,1 2,0,3,0.805175,0.801277
3,0,2 3,1,0,0.851161,0.879950
3,1,0 3,2,1,0.859549,0.815147
3,2,0 1,3,2,0.877079,0.882029
3,3,1 2,0,3,0.870587,0.854546
4,0,2 3,1,0,0.752982,0.767909
4,1,0 3,2,1,0.799281,0.759959
4,2,0 1,3,2,0.752490,0.783356
4,3,1 2,0,3,0.791846,0.763084
5,0,2 3,1,0,0.837791,0.811211
5,1,0 3,2,1,0.804628,0.825569
5,2,0 1,3,2,0.802494,0.828508
5,3,1 2,0,3,0.799229,0.808766
6,0,2 3,1,0,0.896526,0.896243
6,1,0 3,2,1,0.881039,0.899578
6,2,0 1,3,2,0.902340,0.889753
6,3,1 2,0,3,0.880122,0.888472
7,0,2 3,1,0,0.906039,0.911664
7,1,0 3,2,1,0.910855,0.902007
7,2,0 1,3,2,0.891674,0.912329
7,3,1 2,0,3,0.920925,0.894465
8,0,2 3,1,0,0.828356,0.810088
8,1,0 3,2,1,0.845789,0.861878
8,2,0 1,3,2,0.834966,0.831429
8,3,1 2,0,3,0.839478,0.829014
9,0,2 3,1,0,0.751032,0.795973
9,1,0 3,2,1,0.752653,0.754528
9,2,0 1,3,2,0.750002,0.772141
9,3,1 2,0,3,0.789392,0.732163
10,0,2 3,1,0,0.839626,0.866755
10,1,0 3,2,1,0.839440,0.849320
10,2,0 1,3,2,0.806544,0.832716
10,3,1 2,0,3,0.868258,0.822891
11,0,2 3,1,0,0.856102,0.856030
11,1,0 3,2,1,0.875063,0.862036
11,2,0 1,3,2,0.836612,0.874723
11,3,1 2,0,3,0.851397,0.830020
12,0,2 3,1,0,0.836497,0.835914
12,1,0 3,2,1,0.812628,0.847642
12,2,0 1,3,2,0.826914,0.803871
12,3,1 2,0,3,0.860490,0.819449
13,0,2 3,1,0,0.829161,0.860392
13,1,0 3,2,1,0.852390,0.840043
