repeat,epochs_trained,test_auc,test_accuracy,balanced_accuracy,f1_score
1,500,0.7978650811454058,0.8532395382395382,0.5862987012987013,0.2968647378063535
2,500,0.797508570397856,0.8539610389610389,0.5912770562770563,0.3104517271922055
3,500,0.7963171269279061,0.8539862914862915,0.6016645021645022,0.33752884757025714
4,500,0.7979316348081932,0.8532972582972583,0.5895194805194806,0.3057803270852538
5,500,0.7963799848203744,0.8532251082251082,0.5871212121212122,0.2991697385193096
6,500,0.794578350808643,0.8522366522366522,0.5796709956709957,0.27816156774284506
7,500,0.7956697912801485,0.8523665223665223,0.5804588744588745,0.2804191869461246
8,500,0.7972949120612431,0.8535858585858586,0.589935064935065,0.30686204187587524
9,500,0.7956678312812728,0.8534343434343434,0.5927619047619047,0.3145267420280074
10,500,0.7958232490020802,0.8539357864357864,0.5957034632034632,0.3222577459366264
11,500,0.796358080292723,0.8531457431457431,0.5861904761904762,0.2965855681504009
12,500,0.7963864001799066,0.8541269841269842,0.5957316017316018,0.32231681973587184
13,500,0.7960482153164297,0.8544083694083694,0.6006969696969697,0.33510165079574283
14,500,0.7947022447105564,0.8522474747474748,0.5785606060606061,0.2748791671830462
15,500,0.7980728187721369,0.8547294372294373,0.5984307359307359,0.3293083059909062
16,500,0.7971625456325782,0.8539285714285715,0.5931709956709957,0.31555638195371793
17,500,0.7978624698750023,0.854570707070707,0.5964393939393939,0.32414035911278016
18,500,0.79702339770619,0.853023088023088,0.5857445887445888,0.2953649256312695
19,500,0.7974456200689641,0.8538455988455989,0.5952251082251082,0.321009586377958
20,500,0.7950792741421637,0.8536327561327561,0.5936688311688312,0.31691836288028014
21,500,0.7981392621952363,0.854025974025974,0.5922251082251082,0.3130050933786078
22,500,0.7941673264650213,0.8525613275613275,0.5858831168831169,0.2958789883536627
23,500,0.797397084528026,0.8530555555555556,0.5877900432900434,0.30106899569313134
24,500,0.793706624360488,0.8515079365079365,0.5767662337662338,0.26986660990492406
25,500,0.7975025525664812,0.8543253968253969,0.5948722943722944,0.32003637159647735
26,500,0.7971336700024363,0.854498556998557,0.5937467532467533,0.3170265007196681
27,500,0.7931831640149172,0.8538131313131313,0.5920108225108225,0.31245864368245135
28,500,0.7976803865182437,0.8547258297258298,0.6006017316017316,0.3348639006342495
29,500,0.7988015450422594,0.8541883116883117,0.5943311688311689,0.3186162949476559
30,500,0.7974885238282641,0.8546572871572872,0.6026818181818182,0.34009794768479845
