subject,fold,test_block,val_block,acc,loss
1,1,0,1,0.5671641826629639,0.918716549873352
1,2,1,2,0.779411792755127,0.6692240834236145
1,3,2,3,0.7285714149475098,0.7171430587768555
1,4,3,0,0.6911764740943909,0.7305698394775391
2,1,0,1,0.3472222089767456,1.2867130041122437
2,2,1,2,0.38805970549583435,1.3039054870605469
2,3,2,3,0.4637681245803833,1.3058780431747437
2,4,3,0,0.30645161867141724,1.3628404140472412
3,1,0,1,0.6212121248245239,0.9761475324630737
3,2,1,2,0.699999988079071,0.7602154612541199
3,3,2,3,0.7460317611694336,0.6182281374931335
3,4,3,0,0.6338028311729431,0.8418253064155579
4,1,0,1,0.3571428656578064,1.404392123222351
4,2,1,2,0.3529411852359772,1.405335783958435
4,3,2,3,0.37288135290145874,1.3168573379516602
4,4,3,0,0.35384616255760193,1.2026287317276
5,1,0,1,0.2698412835597992,1.5230610370635986
5,2,1,2,0.34285715222358704,1.2783976793289185
5,3,2,3,0.39344263076782227,1.3558984994888306
5,4,3,0,0.4117647111415863,1.2657073736190796
6,1,0,1,0.3492063581943512,1.357053518295288
6,2,1,2,0.25,1.3855676651000977
6,3,2,3,0.2586206793785095,1.3861654996871948
6,4,3,0,0.30000001192092896,1.370426058769226
7,1,0,1,0.5522388219833374,0.8630566596984863
7,2,1,2,0.3636363744735718,1.33138906955719
7,3,2,3,0.28358209133148193,1.3559417724609375
7,4,3,0,0.5352112650871277,0.8313958644866943
8,1,0,1,0.6307692527770996,0.9060018658638
8,2,1,2,0.8181818127632141,0.5417245626449585
8,3,2,3,0.6461538672447205,0.773353099822998
8,4,3,0,0.6323529481887817,0.8773017525672913
9,1,0,1,0.800000011920929,0.5397948622703552
9,2,1,2,0.8500000238418579,0.37947455048561096
9,3,2,3,0.8305084705352783,0.5524777173995972
9,4,3,0,0.8253968358039856,0.4569222331047058
