test_subject,rep,acc,ckpt,train_subjects,val_subjects
1,0,0.5480427145957947,cross_testS01_rep00.weights.h5,"5,6,4,9,8","3,7,2"
1,1,0.5836299061775208,cross_testS01_rep01.weights.h5,"2,4,9,3,6","7,5,8"
1,2,0.5978647470474243,cross_testS01_rep02.weights.h5,"7,9,4,6,3","8,5,2"
1,3,0.5302491188049316,cross_testS01_rep03.weights.h5,"9,2,6,4,5","7,8,3"
1,4,0.5907473564147949,cross_testS01_rep04.weights.h5,"9,3,7,6,2","8,5,4"
1,5,0.5480427145957947,cross_testS01_rep05.weights.h5,"4,7,2,9,6","3,8,5"
1,6,0.5516014099121094,cross_testS01_rep06.weights.h5,"7,5,8,4,9","3,6,2"
1,7,0.6512455344200134,cross_testS01_rep07.weights.h5,"2,8,6,7,3","4,9,5"
1,8,0.5836299061775208,cross_testS01_rep08.weights.h5,"9,5,6,3,8","4,2,7"
1,9,0.5302491188049316,cross_testS01_rep09.weights.h5,"6,5,2,8,7","4,9,3"
2,0,0.3215547800064087,cross_testS02_rep00.weights.h5,"3,5,1,4,6","8,7,9"
2,1,0.32862189412117004,cross_testS02_rep01.weights.h5,"4,9,5,6,3","1,8,7"
2,2,0.3215547800064087,cross_testS02_rep02.weights.h5,"1,4,6,8,9","3,5,7"
2,3,0.2826855182647705,cross_testS02_rep03.weights.h5,"6,5,4,1,3","8,7,9"
2,4,0.28975266218185425,cross_testS02_rep04.weights.h5,"1,3,9,4,5","6,7,8"
2,5,0.2614840865135193,cross_testS02_rep05.weights.h5,"1,3,9,6,4","8,5,7"
2,6,0.2720848023891449,cross_testS02_rep06.weights.h5,"8,4,5,7,3","9,1,6"
2,7,0.2968197762966156,cross_testS02_rep07.weights.h5,"9,3,6,8,7","5,1,4"
2,8,0.25088340044021606,cross_testS02_rep08.weights.h5,"9,1,4,8,3","6,5,7"
2,9,0.2226148396730423,cross_testS02_rep09.weights.h5,"9,6,1,3,4","5,7,8"
3,0,0.622710645198822,cross_testS03_rep00.weights.h5,"9,2,5,4,1","6,8,7"
3,1,0.593406617641449,cross_testS03_rep01.weights.h5,"1,9,2,7,8","4,6,5"
3,2,0.5750916004180908,cross_testS03_rep02.weights.h5,"5,9,7,2,8","6,1,4"
3,3,0.6776556968688965,cross_testS03_rep03.weights.h5,"8,9,1,7,5","2,4,6"
3,4,0.6153846383094788,cross_testS03_rep04.weights.h5,"2,6,4,8,5","7,9,1"
3,5,0.6336996555328369,cross_testS03_rep05.weights.h5,"4,2,9,1,5","8,7,6"
3,6,0.5018315315246582,cross_testS03_rep06.weights.h5,"4,9,2,6,5","7,1,8"
3,7,0.6263736486434937,cross_testS03_rep07.weights.h5,"1,5,4,9,7","2,6,8"
3,8,0.6483516693115234,cross_testS03_rep08.weights.h5,"1,8,7,5,6","9,2,4"
3,9,0.6593406796455383,cross_testS03_rep09.weights.h5,"1,6,4,2,5","8,9,7"
4,0,0.3070175349712372,cross_testS04_rep00.weights.h5,"3,5,6,2,8","9,7,1"
4,1,0.31578946113586426,cross_testS04_rep01.weights.h5,"9,1,2,8,7","3,6,5"
4,2,0.37280702590942383,cross_testS04_rep02.weights.h5,"7,3,5,6,8","9,1,2"
4,3,0.28070175647735596,cross_testS04_rep03.weights.h5,"2,9,8,5,7","6,1,3"
4,4,0.429824560880661,cross_testS04_rep04.weights.h5,"7,8,9,3,6","1,5,2"
4,5,0.3114035129547119,cross_testS04_rep05.weights.h5,"3,7,2,8,5","1,6,9"
4,6,0.3684210479259491,cross_testS04_rep06.weights.h5,"9,6,3,5,2","8,7,1"
4,7,0.37280702590942383,cross_testS04_rep07.weights.h5,"9,5,7,2,6","3,8,1"
4,8,0.3464912176132202,cross_testS04_rep08.weights.h5,"5,3,6,1,2","9,7,8"
4,9,0.2763157784938812,cross_testS04_rep09.weights.h5,"9,1,7,6,8","5,2,3"
5,0,0.25724637508392334,cross_testS05_rep00.weights.h5,"6,8,7,2,1","4,9,3"
5,1,0.28260868787765503,cross_testS05_rep01.weights.h5,"8,3,9,7,2","1,4,6"
5,2,0.25,cross_testS05_rep02.weights.h5,"7,3,9,2,6","1,8,4"
5,3,0.260869562625885,cross_testS05_rep03.weights.h5,"9,7,4,6,2","3,8,1"
5,4,0.25362318754196167,cross_testS05_rep04.weights.h5,"3,9,1,2,4","8,6,7"
5,5,0.25,cross_testS05_rep05.weights.h5,"9,4,1,2,6","3,7,8"
5,6,0.25362318754196167,cross_testS05_rep06.weights.h5,"4,1,6,8,9","2,7,3"
5,7,0.27173912525177,cross_testS05_rep07.weights.h5,"7,6,2,9,4","8,3,1"
5,8,0.25,cross_testS05_rep08.weights.h5,"1,7,8,9,6","2,4,3"
5,9,0.23550724983215332,cross_testS05_rep09.weights.h5,"1,9,8,6,3","7,4,2"
6,0,0.3069767355918884,cross_testS06_rep00.weights.h5,"5,8,7,4,3","9,1,2"
6,1,0.24651162326335907,cross_testS06_rep01.weights.h5,"4,3,7,8,1","9,5,2"
6,2,0.25581395626068115,cross_testS06_rep02.weights.h5,"4,7,3,1,2","8,5,9"
6,3,0.24651162326335907,cross_testS06_rep03.weights.h5,"2,8,4,9,1","3,5,7"
6,4,0.24186046421527863,cross_testS06_rep04.weights.h5,"1,2,7,9,5","3,4,8"
6,5,0.2604651153087616,cross_testS06_rep05.weights.h5,"9,5,3,7,8","2,4,1"
6,6,0.39534884691238403,cross_testS06_rep06.weights.h5,"1,7,5,2,8","4,9,3"
6,7,0.367441862821579,cross_testS06_rep07.weights.h5,"4,8,5,9,7","3,1,2"
6,8,0.24651162326335907,cross_testS06_rep08.weights.h5,"7,8,3,2,1","5,9,4"
6,9,0.3162790834903717,cross_testS06_rep09.weights.h5,"2,7,8,4,5","9,1,3"
7,0,0.28158843517303467,cross_testS07_rep00.weights.h5,"8,4,1,5,9","6,3,2"
7,1,0.288808673620224,cross_testS07_rep01.weights.h5,"5,6,2,4,3","1,8,9"
7,2,0.30685919523239136,cross_testS07_rep02.weights.h5,"5,6,1,9,3","8,4,2"
